1,05/07/2020 06:31 PM,944043,703253,6047.91,Debit,adjustment,Scotia
2,08/11/2020 04:53 PM,311493,757385,2499.98,Debit,payment Transfer,Scotia
3,03/01/2020 01:50 AM,740999,820337,6568.53,Credit,internal ,Amex
4,03/20/2020 02:36 AM,343218,192770,7718.42,Test,internal ,Amex
5,08/27/2020 08:47 PM,210087,947281,1511.28,Cancel,internal ,Scotia
6,07/26/2020 02:35 AM,356280,621189,9964.49,Debit,service charge,Chase
7,03/07/2020 02:11 AM,878259,286147,5055.04,Credit,payment Transfer,TCB
8,07/19/2020 06:48 PM,852633,636249,9992.14,Debit,payment Transfer,Chase
9,04/20/2020 04:49 PM,537522,627131,375.57,Credit,adjustment,TCB
10,06/05/2020 12:52 AM,311713,142973,2934.65,Debit,payment Transfer,Chase
